texto,clase_bloque
S/0.00,OTROS
Otros.Tnbutos,OTROS
S/:0:00,OTROS
Monto de redondeo,OTROS
Importe-Total:,OTROS
4S/448.40,BLOQUE_MONTOS
verificarla utilizando su clave SoL,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
F&L MULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC20515915428,BLOQUE_EMISOR
RJ.HERNANVELARDEI72.CERCADO'DELIMAINTAIO7,OTROS
E001-548,BLOQUE_COMPROBANTE
LIMALIMA LIMA,OTROS
Fecha de Emision,OTROS
22/05/2023,BLOQUE_FECHA
Forma de pago Contado,OTROS
Senor(es),OTROS
ASOCIACION AUTOMOTRIZ DEL,BLOQUE_RECEPTOR
PERUTS,OTROS
RUC.,OTROS
20101973922,BLOQUE_RECEPTOR
AV.REPUBLICADEPANAMA 3956,OTROS
Direccion delClient,OTROS
LIMA-LIMA-SURQUILLO:,OTROS
Tipo de Moneda,OTROS
SOLES:,BLOQUE_MONEDA
Observación.,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripcion.ww,OTROS
ValorUnitario,OTROS
WICBPER,OTROS
2:00,OTROS
TAEKUNIDADYTETEREGULADORDELUMINOSIDAD.,OTROS
85000.00,OTROS
Sub.Total.Ventas,OTROS
.Anticipos,OTROS
S/:0:00,OTROS
S/0.00,OTROS
Descuentos,OTROS
Valor.deVenta.de.Operaciones.Gratuitas,OTROS
S/0.00,OTROS
Valor.Venta,OTROS
FISC,OTROS
HIGV,OTROS
S/30.60,BLOQUE_MONTOS
SON:DOSCIENTOS.Y 60/100SOLES,BLOQUE_MONEDA
FICBPER,OTROS
S/-0.00,OTROS
OtrosCargos,OTROS
Otros-Tributos,OTROS
S/0.00,OTROS
Monto.de.redondeo,OTROS
S/0.00,OTROS
Importe Total,OTROS
Esta es una representación impresa de la factura electronica generada en el Sistema de SUNAT.Puede,BLOQUE_COMPROBANTE
verificarla utilizando su clave sOl.,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
F&LMULTISERVICIOS SALVADOR S.A.C.,BLOQUE_EMISOR
RUC20515915428,BLOQUE_EMISOR
PJ.HERNANVELARDE172CERCADODELIMAINT107,OTROS
E001-610,BLOQUE_COMPROBANTE
LIMA LIMA LIMA,OTROS
Fechade:Emision,OTROS
04/08/2023,BLOQUE_FECHA
Forma.de.pago.Contado,OTROS
ADMINISTRACIONINMOBILIARIA,OTROS
Senor(es),OTROS
SOCIEDADANONIMACERRADA,OTROS
RUCAT,OTROS
20506628963,BLOQUE_RECEPTOR
CAL.LAS ORQUIDEAS585URB.,OTROS
Direccion.del-Cliente,OTROS
JARDININT-301ALIMA-LIMA-SAN,OTROS
ISIDRON,OTROS
Tipo de Moneda,OTROS
SOLES,BLOQUE_MONEDA
Observacion,OTROS
Cantidad,OTROS
UnidadMedida,OTROS
Descripcion,OTROS
tValor.Unitario,OTROS
ICBPER',OTROS
100,OTROS
17.5'GALONES.SUMINISTRODE'COMBUSTIBLEDIESEL,OTROS
418.40,BLOQUE_MONTOS
HEUNIDAD,OTROS
00:0,OTROS
PARAGRUPO.ELECTROGENOPERKINS.,OTROS
SubTotalVentas,OTROS
S/418.40,BLOQUE_MONTOS
WAnticipos,OTROS
S/0.00,OTROS
ValordeVenta.de.Operaciones.Gratuitas.,OTROS
S/0.00,OTROS
Valor.Venta,OTROS
S/418.40,BLOQUE_MONTOS
ISC,OTROS
S/:0.00,OTROS
IGV,OTROS
S/75:31,OTROS
SON:CUATROCIENTOSNOVENTAY.TRES.Y.71/100SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
.Otros.Tributose,OTROS
Monto de redondeo,OTROS
S/.0.00,OTROS
Importe.Total,OTROS
S/.493.71,BLOQUE_MONTOS
verificarlautilizandö su clave SoL,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
F.&L MULTISERVICIOSSALVADORS.A.C,BLOQUE_EMISOR
RUC.20515915428,BLOQUE_EMISOR
PJ.HERNAN.VELARDE172.CERCADODELIMAINT.1O7,OTROS
E001-611,BLOQUE_COMPROBANTE
LIMA -LIMA LIMA : T,OTROS
Fecha.de.Emision.,OTROS
04/08/2023,BLOQUE_FECHA
Forma de.pago..Contado,OTROS
ADMINISTRACION.INMOBILIARIA,OTROS
Senor(es),OTROS
SOCIEDAD.ANONIMA.CERRADA,OTROS
RUC,OTROS
205066289637,BLOQUE_RECEPTOR
CALLASORQUIDEAS585.URB.,OTROS
Direccion del Cliente,OTROS
JARDININTA301ALIMA-LIMA-SAN,OTROS
ISIDRO',OTROS
Tipo de Monéda?,OTROS
SOLES,BLOQUE_MONEDA
Observacion,OTROS
Cantidad,OTROS
Unidad-Medida,OTROS
Descripcionwra,OTROS
Valor.Unitario,OTROS
ICBPERT,OTROS
UNIDADE,OTROS
17.5GALONESSUMINISTRO.DECOMBUSTIBLE.DIESEL,OTROS
418.40,BLOQUE_MONTOS
0.00,OTROS
PARAGRUPO.ELECTROGENO.PERKINS,OTROS
Sub Total Ventas,OTROS
S/418.40,BLOQUE_MONTOS
Anticipos,OTROS
S/:0.00,OTROS
Descuentos,OTROS
000/,OTROS
Valor de Venta de Operaciones Gratuitas S/0.00,OTROS
ValorVenta,OTROS
S/41840,OTROS
ISC,OTROS
000/S,OTROS
IGV,OTROS
S/7531,OTROS
SON.CUATROCIENTOSNOVENTA Y TRES Y.71/100 SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
S/0.00,OTROS
soingul sono,OTROS
Monto deredondeo,OTROS
S/-0:00,OTROS
Importe Total,OTROS
S/493.71,BLOQUE_MONTOS
verificarla utilizando su.clave sOL,OTROS
--- Página 1 ---,OTROS
IDELSIS,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSI SOLUCIONESS.A.C,BLOQUE_EMISOR
RUC20611758988,BLOQUE_EMISOR
AV.CARLOSIZAGUIRREURB.SANANTONIO.MZA:BLOTE.05,OTROS
SANMARTINDEPORRES-LIMA-LIMAE,OTROS
E001-124,BLOQUE_COMPROBANTE
Fecha de Emision,OTROS
15/10/2025,BLOQUE_FECHA
Forma de pago Credito,OTROS
Senor(es),OTROS
ASOCIACIONAUTOMOTRIZ-DEL,BLOQUE_RECEPTOR
PERUSY,OTROS
RUC,OTROS
20101973922,BLOQUE_RECEPTOR
AV.JORGEBASADREGROHMANN,OTROS
Direccion.del.Receptor.de.la.factura.,OTROS
157-URB.FUNDO.SANISIDRO-7MO,OTROS
PISO LIMA LIMA SANISIDRO,OTROS
AVJORGE BASADREGROHMANN,OTROS
Direccion del.Cliente,OTROS
157.URB.FUNDO.SAN ISIDRO.7MO,OTROS
PISO LIMA-LIMA-SANISIDRO,OTROS
Tipo.de.Moneda,OTROS
SOLEST,BLOQUE_MONEDA
CTA CORRIENTE BCP,OTROS
Observacion,OTROS
1911714286019,OTROS
.Cantidad,OTROS
UnidadMedida,OTROS
Descripcion,OTROS
Valor Unitario,OTROS
PICBPER,OTROS
100,OTROS
UNIDAD.,OTROS
OSERVICIO:DE-SUMINISTRO.EINSTALACIONELECTRICOP,OTROS
589.00,BLOQUE_MONTOS
00:0,OTROS
SEGUNOS25100016,OTROS
Sub-TotalVentas,OTROS
S/589:00,OTROS
-Anticipos:,OTROS
S/0.00,OTROS
Descuentos,OTROS
S70.00,OTROS
Valor de Venta deOperaciones-Gratuitas,OTROS
S/0.00,OTROS
ValorVenta,OTROS
00689/S,OTROS
ISC,OTROS
00:0/S,OTROS
IGV,OTROS
S/106.02,BLOQUE_MONTOS
SONSEISCIENTOSNOVENTA Y CINCO Y 02/100SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
S/0.00,OTROS
Otros Tributos,OTROS
S/:0.00,OTROS
Monto de redondeo,OTROS
S/.0.00,OTROS
Importe.Total,OTROS
Informacion-delcredito,OTROS
Monto neto pendientede pago,OTROS
S1.695.02,BLOQUE_MONTOS
Total de Cuotas,OTROS
NCuota Fec.Venc.,OTROS
Monto,OTROS
NeCuota,OTROS
Fec.Venc.,OTROS
Monto.,OTROS
NCuotaFec.Venc,OTROS
Monto,OTROS
22/10/2025,BLOQUE_FECHA
695.02,BLOQUE_MONTOS
verificarla utilizando.su.clave SOl,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSI,OTROS
IDELSI.SOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC:20611758988,BLOQUE_EMISOR
CAL.LOSANGELES187URB.LASVEGAS,OTROS
E001-13,BLOQUE_COMPROBANTE
COMAS-LIMA-LIMA,OTROS
Forma de pago.Credito,OTROS
Fecha.de Emision,OTROS
08/02/2024,BLOQUE_FECHA
ASOCIACION AUTOMOTRIZ DEL,BLOQUE_RECEPTOR
Senor(es),OTROS
RUC,OTROS
20101973922,BLOQUE_RECEPTOR
AV.JORGE BASADRE GROHMANN,OTROS
157.URB.FUNDOSANISIDRO7MO,OTROS
DirecciondelReceptor de la factura,OTROS
PISO LIMA LIMA SAN ISIDRO,OTROS
AV.JORGE BASADRE GROHMANN,OTROS
Direcciondel Cliente,OTROS
157URB.FUNDOSANISIDRO7MO,OTROS
PISOLIMA-LIMA-SANISIDRO,OTROS
Tipo de Moneda,OTROS
SOLES,BLOQUE_MONEDA
ORDENDE.SERVICION 24020004,OTROS
DETACCION BANCO DELANACION,OTROS
Observacion,OTROS
N.00-074-252885,OTROS
"""ValorUnitario",OTROS
ICBPER,OTROS
Unidad Medida,OTROS
Descripcion,OTROS
Cantidad,OTROS
1101.694915,OTROS
0.00,OTROS
UNIDAD,OTROS
ESTUDIO:DECALIDAD'DE:ENERGIAENSUAC,OTROS
100,OTROS
EESTABLECIMIENTODEDOSDEMAYO.PORUN-TIEMPO,OTROS
DE7-DIAS,OTROS
Süb Total Ventas,OTROS
$/1101:69,OTROS
Anticipos.,OTROS
S/0.00,OTROS
S/.0.00,OTROS
Descuentos,OTROS
.,OTROS
Valor de Venta de Operaciones Gratuitas,OTROS
S/.0.00,OTROS
Valor.Venta,OTROS
S/1.101.69,OTROS
00.0S,OTROS
IGV,OTROS
S/198.31,BLOQUE_MONTOS
SONUN MILTRESCIENTOS Y.00/100 SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/0.00,OTROS
000/S,OTROS
Otros Cargos,OTROS
S1.0.00,OTROS
Otros Tributos,OTROS
Monto de redondeo,OTROS
S/.0.00,OTROS
Importe Total,OTROS
S/1300.00,BLOQUE_COMPROBANTE
Informacion dé la detraccion,OTROS
Operacion sujetaal Sistema.de Pago de Obligaciones-Tributarias.con.el.Gobierno Central,OTROS
Leyendar.,OTROS
037Demas servicios-gravados con el IGV,OTROS
Bien Servicio,OTROS
Medio depago,OTROS
001Depositoen.cuenta,OTROS
Montodetraccion,OTROS
S/156.00,OTROS
.Porcentaje de.detracción.,OTROS
12:00,OTROS
Nro. Cta Banco de la Nacion,OTROS
00074252885,OTROS
Información.delcredito,OTROS
S/1.144:00,OTROS
Monto neto pendiente de pago,OTROS
Total de Cuotas,OTROS
N.CuotaFec.Venc.,OTROS
Monto,OTROS
"""Monto",OTROS
N.Cuota,OTROS
Fec.Venc,OTROS
Monto,OTROS
NCuota.Fec.Venc,OTROS
114/02/2024,OTROS
114400,OTROS
"Esta es una representacion impresa de la factura electrónica, generada en el Sistema de SUNAT: Puede",OTROS
verificarla.utilizando su clave sOl,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
F&LMULTISERVICIOSSALVADOR.S.A.C.,BLOQUE_EMISOR
RUC20515915428,BLOQUE_EMISOR
PJ.HERNANVELARDE172CERCADODE LIMAINT107,OTROS
E001-162,BLOQUE_COMPROBANTE
LIMAHLIMA-LIMA,OTROS
Forma de.pago.Credito,OTROS
Fecha de Emision.,OTROS
06/01/2022,BLOQUE_FECHA
ASOCIACION AUTOMOTRIZ DEL,BLOQUE_RECEPTOR
Senor(es),OTROS
PERUTAYE,OTROS
RUC,OTROS
201019739223,BLOQUE_RECEPTOR
AV.REPUBLICA.DE PANAMA 3956,OTROS
Direccion del.Receptor.de:la factura,OTROS
LIMALIMASURQUILLO,OTROS
AV.REPUBLICADE PANAMA 3956,OTROS
Direccion.del.cliente,OTROS
LIMA-LIMA-SURQUILLO,OTROS
Tipo de Moneda,OTROS
SOLEST,BLOQUE_MONEDA
SERVICIO AFECTO A DETRACC12%,OTROS
Observacion.,OTROS
424.80SOLES,BLOQUE_MONEDA
CICBPER,OTROS
wUnidadMedida,OTROS
Descripcion,OTROS
wwwwww.Cantidad,OTROS
0.00,BLOQUE_MONTOS
250.00,BLOQUE_MONTOS
MANTENIMIENTO.DEPOZO.A-TIERRA,OTROS
S/3.000.00,OTROS
SubTotal-Ventas.,OTROS
"""Anticipos",OTROS
Descuentos,OTROS
S/0.00,OTROS
Valor.de Venta de Operaciones Gratuitas$/0.00,OTROS
alorVenta,OTROS
S/3:000.00,OTROS
S/0.00,OTROS
MISC,OTROS
LIGV,OTROS
S/540:00,OTROS
S/0.00,OTROS
SON:TRES:MIL.QUINIENTOSCUARENTAY00/100-SOLES,BLOQUE_MONEDA
ICBPER,OTROS
Otros Cargos,OTROS
00.0./S,OTROS
Otros Tributos,OTROS
S/0.00,OTROS
Montoderedöndeo,OTROS
lmporte Total,OTROS
S/3.540.00,BLOQUE_MONTOS
Informacion del credito,OTROS
S/3.115.20,OTROS
Monto neto pendiente de pago,OTROS
Total.de.Cuotas,OTROS
NCuota Fec.Venc,OTROS
Monto,OTROS
Monto,OTROS
NCuotaFec.Venc.,OTROS
Monto:,OTROS
NCuota Fec.Venc.,OTROS
113/01/2022,OTROS
3.115.20,OTROS
verificarla.utilizandosu.clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSI,OTROS
IDELSI SOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC20611758988,BLOQUE_EMISOR
AVCARLOSIZAGUIRREURB.SANANTONIOMZA.BLOTEO5,OTROS
E001.126,BLOQUE_COMPROBANTE
SANMARTINDEPORRES-LIMA-LIMA,OTROS
Forma de pagö. Credito,OTROS
Fecha de Emision,OTROS
16/10/2025,BLOQUE_FECHA
FINANCIERA CONFIANZA S.A.A:,OTROS
Senor(es),OTROS
FINANCIERACONFIANZA,OTROS
20228319768,BLOQUE_RECEPTOR
ERUCE,OTROS
CAL.LAS.BEGONIAS441INT.238C,OTROS
Direccion del.Receptorde lafacturaEDIFiciOPLAZA DELsOLLiMA,OTROS
LIMA SAN ISIDROYE,OTROS
CALLASBEGONIAS441INT.238C,OTROS
Direccion del Cliente,OTROS
EDIFICIO PLAZA DEL SOL LIMA,OTROS
LIMA-SAN ISIDRO,OTROS
Tipo de Moneda,OTROS
SOLEST,BLOQUE_MONEDA
CTA.CORRIENTE BCP,OTROS
Observacion,OTROS
1911714286019,OTROS
ICBPER,OTROS
Descripción,OTROS
ValorUnitario,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
150000,BLOQUE_MONTOS
0.00,BLOQUE_MONTOS
FUNIDADY,OTROS
VENTADE.ESTABILIZADORDEVOLTAJEDE220,OTROS
1:00,OTROS
VOLTIOSDE.5.KVAAGENCIA.VENTANILLACOTIZA,OTROS
173ISS2025,OTROS
al'Ventas,OTROS
Anticipos,OTROS
Descuentos,OTROS
S/0.00,OTROS
Valor.de.Venta de Operaciones Gratuitas.S/.0.00,OTROS
ValorVenta,OTROS
S/1500:00,OTROS
ISC,OTROS
S/0:00,OTROS
IGV.,OTROS
S/270.00,BLOQUE_MONTOS
SON:UNMIL SETECIENTOSSETENTA.Y.00/100SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S.0.00,OTROS
OtrosCargos,OTROS
S/0.00,OTROS
Otros Tributos,OTROS
000./S,OTROS
Monito de redondeo.,OTROS
S7.0.00,OTROS
Importe.Total.,OTROS
S/1.770.00,OTROS
Informaciondel.credito,OTROS
Monto neto pendiente de pago,OTROS
S/1770.00,BLOQUE_MONTOS
Total.deCuotas.w..,OTROS
NCuotaFec.Venc.,OTROS
Monto.,OTROS
N CuotaFec.Venc.,OTROS
Monto.,OTROS
NCuota Fec.Venc,OTROS
Monto,OTROS
2 1:14/11/2025,OTROS
1.770:00,OTROS
"Esta es unarepresentacion impresa de lafactura electronica,generadaen el Sistemade SuNAT. Puede",BLOQUE_COMPROBANTE
verificarlautilizando su clave SOl,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSISOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC20611758988,BLOQUE_EMISOR
AV CARLOS.IZAGUIRREURB.SAN ANTONIO:MZA.BLOTE 05,OTROS
001145,BLOQUE_COMPROBANTE
SANMARTINDEPORRESLIMA-LIMA,OTROS
Forma de pago: Contado,OTROS
Fecha.deEmision,OTROS
02/02/2026,BLOQUE_FECHA
ADMINISTRACION INMOBILIARIA,OTROS
Senor(es),OTROS
SOCIEDAD ANONIMACERRADA,OTROS
RUC,OTROS
20506628963.,BLOQUE_RECEPTOR
CALLASORQUIDEAS 585.URB,OTROS
Direccion del Cliente,OTROS
JARDININT:301ALIMA-LIMA-SAN,OTROS
ISIDRO,OTROS
Tipo de Moneda,OTROS
SOLES,BLOQUE_MONEDA
CTACORRIENTEBCP SOLES,BLOQUE_MONEDA
Observacion.,OTROS
19117142860192,OTROS
ValorUnitario,OTROS
ICBPERS,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripcion,OTROS
400.00,BLOQUE_MONTOS
0.00,BLOQUE_MONTOS
UNIDAD,OTROS
SERVICIODEALQUILERDEGRUPO.ELECTROGENO'DE,OTROS
100,OTROS
8.KWAGENCIALOSOLIVOS27/01/2026,OTROS
SubTotal Ventas,OTROS
S/400.00,BLOQUE_MONTOS
Anticipos,OTROS
Descuentos,OTROS
S/0.00,OTROS
Valor de Venta de Operaciones.Gratuitas S/.0.00,OTROS
Valor.Venta,OTROS
S/400.00,BLOQUE_MONTOS
MISC.,OTROS
S/.0:00,OTROS
IGV,OTROS
S/72:00,OTROS
SONCUATROCIENTOS SETENTA Y DOS Y 00/100 SOLES,BLOQUE_MONEDA
HICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
S/0.00,OTROS
Otros Tributos,OTROS
S/0.00,OTROS
Monto.de.redondeo,OTROS
S/472:00,OTROS
Importe Total.,OTROS
"Esta es una representacion impresa de la factura electronica, generada en el Sistema de SuNAT.Puede",BLOQUE_COMPROBANTE
verificarla.utilizando su clave SoL.,OTROS
--- Página 1 ---,OTROS
R.U.CN20510049226,BLOQUE_EMISOR
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
MSLDEL PERUS.A.C.,BLOQUE_EMISOR
F006-0142521,BLOQUE_COMPROBANTE
N.V.O.C.C.,OTROS
Oficina PrincipalPq.Manuel Gonzales Prada N379-Magdalena del Mar-Lima,OTROS
Telef.5114622333,OTROS
Sucursal:Av.Elmer Faucett 2823 Torre Sur Oficina 502-Lima Cargo City,OTROS
Telef.5116240210,OTROS
Of.AdministrativaAv Nestor Gambeta N°4783Prov.Cost.del Callao-Callao,OTROS
Telef933794954,OTROS
Mza.F Lote 10 Dpto.6 Int.P.3Urb.Sol y Mar Piura-Paita-Piura,OTROS
Telef.5117194673,OTROS
e-mail:mslperu@mslcorporate.com.pe,OTROS
www.msicorporate.com,OTROS
SENOR(ES),OTROS
WMIMPORTS.A.C.,BLOQUE_RECEPTOR
DIRECCION,OTROS
:AV.ROSADEAMERICA NRO.750ASOC.ROSA DEAMERICA(ALT.DECRUC.UNIV.Y METROPOLITANALIMA-LIMA-COMA,OTROS
R.U.C:,OTROS
20525058876,BLOQUE_RECEPTOR
F.EMISION,OTROS
17/03/2026,BLOQUE_FECHA
TIP.CAMBIO,OTROS
USUARIO,OTROS
Lenin Vasquez,OTROS
REFERENCIA:ICLX2602796,OTROS
FECHA,OTROS
14/03/2026,BLOQUE_FECHA
CONDICION VENTACONTADO,OTROS
ORIGEN,OTROS
Ningbo,OTROS
HBL,OTROS
LZSCLA2611302NB,OTROS
TOTALDECUOTAS,OTROS
DESTINO,OTROS
Callao,OTROS
O.COMPRA,OTROS
VENCIMIENTO,OTROS
17/03/2026,BLOQUE_FECHA
BUQUE,OTROS
KOTA MANZANILLO,OTROS
IMPORTE NETO,OTROS
CANT,OTROS
DESCRIPCION,OTROS
PRECIOUNIT,OTROS
VALOR.VENTA,OTROS
1.00,OTROS
THC(F),OTROS
88.00,OTROS
US$,OTROS
88.00,OTROS
1.00,OTROS
Agency Fee,OTROS
100.00,BLOQUE_MONTOS
US$,OTROS
100.00,BLOQUE_MONTOS
1.00,OTROS
BAF,OTROS
183.12,OTROS
US$,OTROS
183.12,OTROS
EXONERADO POR LEY DELIGV E ISCD.S.05599EFAPENDICEIINUM.3.MODIFICADO POR ART.2DELD.LEG.1125(VIGENTE DESDE EL01/08/2012,OTROS
SON:SON TRESCIENTOS SETENTA Y UNO CON 12/100 DOLARES,OTROS
USS,OTROS
SUB-TOTAL,OTROS
371.12,BLOQUE_MONTOS
IGV18%,OTROS
USS,OTROS
0.00,BLOQUE_MONTOS
TOTAL,OTROS
USS,OTROS
371.12,BLOQUE_MONTOS
Ren,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
F&L MULTISERVICIOSSALVADOR S.A.C.,BLOQUE_EMISOR
RUC20515915428,BLOQUE_EMISOR
PJ.HERNANVELARDE172CERCADO.DE LIMA INT.107,OTROS
E001.630,BLOQUE_COMPROBANTE
LIMA-LIMA-LIMA,OTROS
Fecha de Emision,OTROS
04/09/2023,BLOQUE_FECHA
Formade pago.Contado,OTROS
AMERICORP GROUP-SOCIEDAD,OTROS
Senor(es),OTROS
ANONIMA'CERRADA,OTROS
RUCY,OTROS
20536309102,BLOQUE_COMPROBANTE
AV.DELPINAR110URB.,OTROS
CHACARILLADELESTANQUEINT:,OTROS
Direccion del Cliente,OTROS
605LIMA-LIMA-SANTIAGODE,OTROS
SURCO,OTROS
Tipo.deMoneda,OTROS
SOLES,BLOQUE_MONEDA
PAGOAFECTOADETRACCIONDEL,OTROS
Observacion,OTROS
12%S/138.76),OTROS
w.w.Cantidad,OTROS
UnidadMedida,OTROS
Descripcion,OTROS
wwwwwValorUnitario,OTROS
ICBPER,OTROS
100,OTROS
ALQUILERDEGRUPOELECTROGENODE3O.KW,OTROS
980.00,BLOQUE_MONTOS
00.0,OTROS
Sub TotalVentas,OTROS
000867S,OTROS
.Anticipos,OTROS
S/0.00,OTROS
Descuentos,OTROS
Valor de Venta de Operaciones GratuitasS/0.00,OTROS
000/S,OTROS
ValorVenta,OTROS
S/.980.00,BLOQUE_MONTOS
ISC,OTROS
S/0.00,OTROS
IGV,OTROS
S/176.40,BLOQUE_MONTOS
SON:UNMILCIENTOCINCUENTAY.SEIS.Y40/100.SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos,OTROS
OtrosTributos,OTROS
S/.0.00,OTROS
Monto de redondeo,OTROS
Importe.Total,OTROS
verificarla.utilizandosu.clave SOL,OTROS
--- Página 1 ---,OTROS
IDELSIY,OTROS
FACTURA.ELECTRONICA,BLOQUE_COMPROBANTE
IDELSISOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC20611758988,BLOQUE_EMISOR
CAL.LOSANGELES187.URB.LAS.VEGAS,OTROS
E001-50,BLOQUE_COMPROBANTE
COMAS.-LIMALIMA,OTROS
Forma de pago.Credito,OTROS
Fecha de.Emision,OTROS
12/09/2024,BLOQUE_FECHA
NAZCA ENERGY S.A.CNAZC,OTROS
Senor(es)),OTROS
ENERS.A.C.,OTROS
RUC.,OTROS
20604526265,BLOQUE_RECEPTOR
JR.SILICIOS 5580URB.INDUSTRIAL,OTROS
Direccion del Receptorde la factura,OTROS
INFANTAS LIMALIMA LOS.OLIVOS,OTROS
JR.SILICIOS5580.URB.INDUSTRIAL,OTROS
"""Direcciondel Cliente",OTROS
INFANTASLIMA-LIMA-LOS OLIVOS,OTROS
SOLES,BLOQUE_MONEDA
Tipo de Moneda,OTROS
observación,OTROS
CTACTEBCP1911714286019,OTROS
alor.Unitario,OTROS
ICBPER,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripcion,OTROS
1320.00,BLOQUE_MONTOS
0.00,OTROS
SERVICIODEALQUILER DEGRUPO ELECTROGENOY,OTROS
1:00,OTROS
EUNIDAD,OTROS
135KW,OTROS
Sub.Total.Ventas,OTROS
S/1320.00,BLOQUE_MONTOS
Anticipos,OTROS
S/.0.00,OTROS
Descuentos,OTROS
000/S,OTROS
Valor deVenta de Operaciones GratuitasS/0.00,OTROS
Valor-Venta,OTROS
S/1.320.00,OTROS
EISC,OTROS
S/.0.00,OTROS
IGV,OTROS
S/237.60,BLOQUE_MONTOS
ICBPER,OTROS
S/0.00,OTROS
SON.UN MILQUINIENTOS.CINCUENTAYSIETEY60/100SOLES,BLOQUE_MONEDA
Otros Cargos,OTROS
S/0.00,OTROS
Otros.Tributos,OTROS
S/0.00,OTROS
Monto.de.redondeo,OTROS
Importe-Total,OTROS
S/1557.60,BLOQUE_MONTOS
Informacion de la detracciones,OTROS
Operacion sujeta al Sistema de Pago de Obligaciones.Tributarias.con el. Gobierno Central,OTROS
Leyenda.,OTROS
019Arrendamiento de bienes muebles.einmuebles,OTROS
Bien. Servicio,OTROS
o6edap.olpaw,OTROS
001 Deposito en cuenta,BLOQUE_COMPROBANTE
Monto detraccion..,OTROS
S/156.00,OTROS
10.00,OTROS
Nro Cta.Banco de la Nacion,OTROS
00074252885,OTROS
Informacion del credito,OTROS
Monto neto.pendiente de pago,OTROS
S/1.401.60,OTROS
Total de.Cuotas,OTROS
Montos,OTROS
NCuotaFec.Venc,OTROS
Monto,OTROS
NCuota,OTROS
wFec.Venc.,OTROS
N Cuota Fec.Venc,OTROS
Monto,OTROS
140160,OTROS
verificarla.utilizando su.clave SOL,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSI SOLUCIONESS.A.C.,BLOQUE_EMISOR
AV CARLOS.IZAGUIRREURB SAN ANTONIO MZA B LOTE 05,OTROS
RUC.20611758988,BLOQUE_EMISOR
SANMARTINDEPORRES-LIMA-LIMA,OTROS
E001-147,BLOQUE_COMPROBANTE
Fecha de Emision,OTROS
03/02/2026,BLOQUE_FECHA
Forma de pago: Contado,OTROS
Senor(es):,OTROS
ADMINISTRACION INMOBILIARIA,OTROS
SOCIEDAD ANONIMACERRADA,OTROS
RUCHY,OTROS
20506628963,BLOQUE_RECEPTOR
CAL.LAS.ORQUIDEAS585URB.,OTROS
Direccion del Cliente,OTROS
JARDIN.INT..301ALIMA-LIMA-SAN,OTROS
ISIDRO,OTROS
Tipo de Moneda.,OTROS
SOLES,BLOQUE_MONEDA
CTA CORRIENTE BCP SOLES,BLOQUE_MONEDA
Observacion.,OTROS
1911714286019,OTROS
Cantidad.,OTROS
UnidadMedida,OTROS
Descripciontctr,OTROS
ValorUnitario,OTROS
ICBPER,OTROS
100,OTROS
UNIDAD:,OTROS
SERVICIO.DEALQUIL'ERDEGRUPOELECTROGENO'DE,OTROS
400.00,BLOQUE_MONTOS
:0:00,OTROS
8KW AGENCIA.LOS OLIVOS-28/01/2026,OTROS
Sub Total Ventas,OTROS
S/400.00,BLOQUE_MONTOS
Anticipos,OTROS
000/S,OTROS
